Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Education level,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,ISO3
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",400,Jordan,PRIMAR,G,PERCENT,,,,,,,,,,,,70.82,,,,,,31.78474,32.31278,33.51471,33.56192,,JOR
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",400,Jordan,SECOND,G,PERCENT,,,,,,,,,,,,82.36505,,,,,,100,100,100,100,,JOR
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",400,Jordan,UPPSEC,G,PERCENT,,,,,,,,,,,,86.08033,,,,,,100,100,100,100,,JOR
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",296,Kiribati,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,,,42.85714,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",296,Kiribati,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,,,,,6.18557,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",296,Kiribati,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,,,,,54.54545,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",296,Kiribati,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,,,75,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",414,Kuwait,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,,100,100,,KWT
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",414,Kuwait,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,,,,100,100,,KWT
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",414,Kuwait,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,,,,100,100,,KWT
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",414,Kuwait,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,,100,100,,KWT
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",417,Kyrgyzstan,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,,41.36852,,,,,KGZ
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",417,Kyrgyzstan,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,,41.36852,,,,,KGZ
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",417,Kyrgyzstan,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,,43.56961,,,,,KGZ
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",417,Kyrgyzstan,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,48.29309,45.55735,61.37271,,85.62945,,KGZ
